MonitoringLocationIdentifier,pH,"Temperature, water",Barometric pressure,Escherichia coli,"Temperature, air",Specific conductance,Organic carbon,"Stream flow, instantaneous",Turbidity,"Hardness, Ca, Mg",Phosphorus,Total suspended solids,Escherichia coli Limit Reached
USGS-02197065,6.938805970149254,18.481818181818184,762.0,144.35294117647058,21.85909090909091,59.87878787878788,3.9,4264.078947368421,6.3,14.695652173913045,0.1234782608695652,6.816666666666666,0
USGS-02198810,6.822222222222222,14.401694915254236,,,21.51111111111111,99.4776119402985,,233.0,,,,,0
USGS-02198820,6.888888888888889,22.288888888888888,,,25.37777777777778,80.22222222222223,,,,,,,0
USGS-02198840,6.888888888888889,22.344444444444445,,,26.08888888888889,80.44444444444444,,,,,,,0
USGS-02198920,7.201204819277109,21.054237288135592,764.2542372881356,58.56666666666667,23.379661016949157,7502.8125,6.020833333333333,894.9375,29.866666666666664,785.25,0.1575,58.125,0
USGS-02202190,6.984146341463415,19.940677966101696,763.6271186440678,139.27272727272728,22.21186440677966,88.86746987951807,9.7625,894.4526785714286,9.025,31.25,0.09125,6.4625,0
USGS-02203700,6.980769230769231,17.89375,742.0666666666667,858.9285714285714,19.966666666666665,161.592,7.266666666666667,27.789375,89.476,43.16666666666666,0.2206666666666666,498.6,1
USGS-02203831,7.089655172413793,16.322857142857142,740.9705882352941,607.875,19.21875,78.54827586206896,5.325,2.880857142857143,125.1625,20.08333333333333,0.1848235294117647,499.27272727272725,1
USGS-02203863,7.033898305084746,16.156410256410258,741.5,856.6875,19.59090909090909,86.75254237288135,4.607692307692307,8.860897435897435,97.0421875,23.384615384615383,0.2106666666666666,395.25,1
USGS-02203873,6.9750000000000005,16.144444444444446,720.2222222222222,938.625,42.9875,78.88392857142857,4.845454545454545,10.774605263157897,132.52,26.63636363636364,0.2088125,547.5555555555555,1
USGS-02203900,7.201694915254237,16.645238095238096,743.5641025641025,1522.5,19.44871794871795,132.45762711864407,4.15,95.8047619047619,40.93898305084746,39.25,0.1226315789473684,144.58333333333334,1
USGS-02203950,6.963934426229509,16.468571428571426,740.6857142857143,664.5625,18.75294117647059,85.42459016393443,4.807142857142857,4.905714285714286,80.11911764705883,21.428571428571427,0.192,419.0,1
USGS-02203960,7.247540983606558,16.86216216216216,742.1891891891892,1272.8125,19.87027027027027,76.43606557377049,4.4,32.03202702702703,105.52985074626864,22.5,0.2160555555555555,479.7142857142857,1
USGS-02204037,7.144262295081967,17.12162162162162,743.7837837837837,760.3125,20.31142857142857,71.30655737704917,4.8,8.654324324324325,85.2865671641791,20.92142857142857,0.1185333333333333,281.0,1
USGS-02204520,7.331746031746031,17.79047619047619,746.5238095238095,143.53333333333333,19.464285714285715,168.2,3.926086956521739,226.82916666666665,15.404347826086957,42.43478260869565,0.0452173913043478,15.052173913043475,0
USGS-02205000,7.11,18.846666666666668,735.2413793103449,1809.375,21.55185185185185,75.08800000000001,5.2,,22.346,19.95625,0.0771052631578947,60.30769230769231,1
USGS-02205865,7.009803921568627,19.936666666666667,738.5,945.25,22.07586206896552,76.48039215686275,4.01875,70.40133333333333,33.685106382978724,22.1875,0.0649090909090909,113.76923076923076,1
USGS-02206500,7.389583333333333,20.0625,738.34375,1033.1875,21.04137931034483,159.25531914893617,3.89375,235.7953125,34.52142857142857,43.375,0.0627894736842105,95.75,1
USGS-02207120,7.538775510204081,20.2875,740.4375,242.125,21.02258064516129,161.45102040816326,3.7625,227.0734375,30.80217391304348,48.6875,0.0575882352941176,124.58333333333331,0
USGS-02207135,7.016393442622951,15.818918918918918,719.6486486486486,378.4375,38.95555555555556,97.75409836065572,5.142857142857143,1.1563157894736842,66.95223880597015,26.714285714285715,0.0984210526315789,266.4166666666667,0
USGS-02207160,7.15483870967742,19.31142857142857,742.3428571428572,165.5625,20.10571428571429,70.10793650793651,3.442857142857143,15.72375,13.945205479452056,21.214285714285715,0.042875,33.23076923076923,0
USGS-02207185,6.907843137254902,19.59259259259259,741.6538461538462,682.5,22.782608695652176,65.91764705882353,4.005882352941176,9.104259259259258,35.68490566037736,16.688235294117646,0.0679130434782608,97.73333333333332,1
USGS-02207385,6.796153846153846,19.836,710.32,810.0,22.61111111111111,56.175,4.352941176470588,18.434,78.70181818181818,13.429411764705884,0.1538260869565217,290.125,1
USGS-02207400,6.723529411764705,20.446428571428573,737.8928571428571,699.6470588235294,21.53333333333333,44.23333333333333,4.39375,10.134107142857143,52.644,10.7125,0.087695652173913,137.06666666666666,1
USGS-02208005,7.37037037037037,17.605,747.5833333333334,347.8181818181818,18.95,138.7560975609756,3.817391304347826,123.05096153846154,15.978260869565217,34.34782608695652,0.0378260869565217,16.156521739130437,0
